timestamp,habitId,habitName,action,previousValue,newValue
2026-01-30T13:45:50.270Z,1,"Test Habit",CREATE,"","recurrence=1,recurring=true"
2026-01-30T13:46:16.972Z,2,"Voice training",CREATE,"","recurrence=1,recurring=true"
2026-01-30T13:46:22.224Z,3,"Exercise",CREATE,"","recurrence=1,recurring=true"
2026-01-30T13:49:38.982Z,1,"Test Habit",DELETE,"",""
2026-01-30T13:49:41.637Z,2,"Voice training",COMPLETE,"","2026-01-30T13:49:41.637Z"
2026-01-30T13:57:15.375Z,3,"Exercise",ARCHIVE,"false","true"
2026-01-30T13:58:35.859Z,3,"Exercise",COMPLETE,"","2026-01-30T13:58:35.859Z"
2026-01-30T13:59:22.026Z,4,"Test",CREATE,"","recurrence=1,recurring=true"
2026-01-30T13:59:24.341Z,4,"Test",COMPLETE,"","2026-01-30T13:59:24.341Z"
2026-01-30T14:03:19.592Z,4,"Test",COMPLETE,"","2026-01-30T14:03:19.592Z"
2026-01-30T14:03:28.128Z,4,"Test",COMPLETE,"","2026-01-30T14:03:28.128Z"
2026-01-30T14:03:38.566Z,4,"Test",COMPLETE,"","2026-01-30T14:03:38.566Z"
2026-01-30T14:03:38.569Z,4,"Test",COMPLETE,"","2026-01-30T14:03:38.569Z"
2026-01-30T14:03:46.225Z,4,"Test",COMPLETE,"","2026-01-30T14:03:46.225Z"
2026-01-30T14:03:46.373Z,4,"Test",COMPLETE,"","2026-01-30T14:03:46.373Z"
2026-01-30T14:05:25.490Z,4,"Test",EDIT_RECURRENCE,"1","2"
2026-01-30T14:05:31.170Z,4,"Test",ARCHIVE,"false","true"
2026-01-30T14:09:07.102Z,3,"Exercise",RESTORE,"",""
2026-01-30T14:09:33.125Z,5,"Test",CREATE,"","recurrence=1,recurring=false"
2026-01-30T14:09:38.382Z,5,"Test",ARCHIVE,"false","true"
2026-01-30T14:15:10.538Z,6,"Test Daily Task",ARCHIVE,"false","true"
2026-01-30T14:18:24.219Z,7,"Test Daily Task - DUE NOW",COMPLETE,"","2026-01-30T14:18:24.218Z"
2026-01-30T14:26:58.557Z,9,"Test Daily Task - ALMOST DUE",COMPLETE,"","2026-01-30T14:26:58.557Z"
2026-01-30T14:26:58.692Z,9,"Test Daily Task - ALMOST DUE",COMPLETE,"","2026-01-30T14:26:58.692Z"
2026-01-30T14:31:48.220Z,8,"Test Daily Task - DUE NOW",COMPLETE,"","2026-01-30T14:31:48.220Z"
2026-01-30T14:31:53.714Z,7,"Test Daily Task - DUE NOW",COMPLETE,"","2026-01-30T14:31:53.714Z"
